"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 10:05:49 GMT 2024","Tue May 28 10:05:54 GMT 2024","5317","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","operator",""
"passed","Tue May 28 10:04:31 GMT 2024","Tue May 28 10:04:46 GMT 2024","15328","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","group owner",""
"passed","Tue May 28 10:02:47 GMT 2024","Tue May 28 10:02:57 GMT 2024","9705","setup","auth.setup.ts","","","","authenticate as brand_owner",""
"passed","Tue May 28 10:02:47 GMT 2024","Tue May 28 10:02:57 GMT 2024","9160","setup","auth.setup.ts","","","","authenticate as org owner",""
"passed","Tue May 28 10:02:59 GMT 2024","Tue May 28 10:03:08 GMT 2024","9720","chromium","UI-Case/Brands/brands.spec.ts","test brand case > test - move brands to group","","","orgOwner",""
"passed","Tue May 28 10:06:35 GMT 2024","Tue May 28 10:06:40 GMT 2024","5527","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","group owner",""
"passed","Tue May 28 10:05:08 GMT 2024","Tue May 28 10:05:23 GMT 2024","14631","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","operator",""
"passed","Tue May 28 10:03:08 GMT 2024","Tue May 28 10:03:14 GMT 2024","5966","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","group owner",""
"passed","Tue May 28 10:03:37 GMT 2024","Tue May 28 10:03:44 GMT 2024","6645","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","org owner",""
"passed","Tue May 28 10:03:38 GMT 2024","Tue May 28 10:03:40 GMT 2024","1648","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","groupOwner",""
"passed","Tue May 28 10:05:04 GMT 2024","Tue May 28 10:05:08 GMT 2024","4361","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","brand owner",""
"passed","Tue May 28 10:03:41 GMT 2024","Tue May 28 10:03:54 GMT 2024","13498","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","operator",""
